_id,id,anio,mun,estratos,sexo,edad,total,total_low,total_upp,dim,nomgeo
24,23,2015,3,Pobreza moderada,Hombre,12-29,13259,107791958015000,157388041985000,Educacion,Coyoacán
25,24,2015,3,Pobreza moderada,Hombre,30-44,9858,818262411045000,115333758895000,Educacion,Coyoacán
26,25,2015,3,Pobreza moderada,Hombre,45-59,4699,376879956484000,562920043516000,Educacion,Coyoacán
27,26,2015,3,Pobreza moderada,Mujer,0-11,412,21651477361900,60748522638100,Educacion,Coyoacán
28,27,2015,3,Satisfaccion mínima,Hombre,12-29,26623,224570309569000,307889690431000,Educacion,Coyoacán
29,28,2015,3,Satisfaccion mínima,Mujer,0-11,16005,134605503612000,185494496388000,Educacion,Coyoacán
30,29,2015,3,Satisfaccion mínima,Mujer,12-29,26798,22563842731000,31032157269000,Educacion,Coyoacán
31,30,2015,3,Satisfaccion mínima,Mujer,45-59,11373,937186195119000,133741380488000,Educacion,Coyoacán
32,31,2015,3,Satisfaccion mínima,Mujer,60 y mas,12738,106985789352000,147774210648000,Educacion,Coyoacán
33,32,2015,3,Estrato medio,Hombre,0-11,12894,108872346571000,149007653429000,Educacion,Coyoacán
34,33,2015,3,Estrato medio,Hombre,60 y mas,21372,178538059609000,248901940391000,Educacion,Coyoacán
35,34,2015,3,Estrato medio,Mujer,12-29,34546,295931416180000,394988583820000,Educacion,Coyoacán
36,35,2015,3,Estrato alto,Hombre,12-29,2160,14224459864000,28975540136000,Educacion,Coyoacán
37,36,2015,3,Estrato alto,Hombre,45-59,5461,41068577763400,68151422236600,Educacion,Coyoacán
38,37,2015,3,Estrato alto,Hombre,60 y mas,7626,567206698223000,957993301777000,Educacion,Coyoacán
39,38,2015,4,Pobreza muy alta,Hombre,0-11,972,566640677468000,137735932253000,Educacion,Cuajimalpa de Morelos
40,39,2015,4,Pobreza muy alta,Hombre,45-59,792,391440377251000,119255962275000,Educacion,Cuajimalpa de Morelos
41,40,2015,4,Pobreza muy alta,Hombre,No especificado,3,-209558564743000,809558564743000,Educacion,Cuajimalpa de Morelos
42,41,2015,4,Pobreza muy alta,Mujer,45-59,1172,66729703217800,167670296782000,Educacion,Cuajimalpa de Morelos
43,42,2015,4,Pobreza alta,Mujer,0-11,121,321494495449000,238785055046000,Educacion,Cuajimalpa de Morelos
44,43,2015,4,Pobreza alta,Mujer,12-29,646,319205756143000,972794243857000,Educacion,Cuajimalpa de Morelos
45,44,2015,4,Pobreza moderada,Hombre,12-29,7870,582380350233000,991619649767000,Educacion,Cuajimalpa de Morelos
46,45,2015,4,Pobreza moderada,Hombre,30-44,4565,325856200566000,587143799434000,Educacion,Cuajimalpa de Morelos
47,46,2015,4,Pobreza moderada,Mujer,0-11,150,428682703481000,25713172965200,Educacion,Cuajimalpa de Morelos
48,47,2015,4,Pobreza moderada,Mujer,12-29,6685,482636270559000,854363729441000,Educacion,Cuajimalpa de Morelos
49,48,2015,4,Pobreza moderada,Mujer,60 y mas,1915,143382899246000,239617100754000,Educacion,Cuajimalpa de Morelos
50,49,2015,4,Satisfaccion mínima,Hombre,60 y mas,1327,932408121445000,172159187856000,Educacion,Cuajimalpa de Morelos
51,50,2015,4,Satisfaccion mínima,Mujer,0-11,8189,626485961929000,101131403807000,Educacion,Cuajimalpa de Morelos
52,51,2015,4,Satisfaccion mínima,Mujer,12-29,10781,866242730275000,128995726973000,Educacion,Cuajimalpa de Morelos
53,52,2015,4,Satisfaccion mínima,Mujer,45-59,3289,23983570944100,417964290559000,Educacion,Cuajimalpa de Morelos
54,53,2015,4,Estrato medio,Hombre,0-11,6167,478581515474000,754818484526000,Educacion,Cuajimalpa de Morelos
55,54,2015,4,Estrato medio,Mujer,45-59,7561,513697542503000,998502457497000,Educacion,Cuajimalpa de Morelos
56,55,2015,4,Estrato alto,Hombre,30-44,1441,675295476507000,220670452349000,Educacion,Cuajimalpa de Morelos
57,56,2015,4,Estrato alto,Hombre,45-59,2230,106371199293000,339628800707000,Educacion,Cuajimalpa de Morelos
58,57,2015,4,Estrato alto,Mujer,0-11,2544,174725146307000,334074853693000,Educacion,Cuajimalpa de Morelos
59,58,2015,4,Estrato alto,Mujer,30-44,748,375210736249000,112078926375000,Educacion,Cuajimalpa de Morelos
60,59,2015,4,Estrato alto,Mujer,45-59,1204,590416202526000,181758379747000,Educacion,Cuajimalpa de Morelos
61,60,2015,5,Pobreza muy alta,Hombre,0-11,5630,43912658927200,68687341072800,Educacion,Gustavo A. Madero
62,61,2015,5,Pobreza muy alta,Hombre,No especificado,280,208254130570000,539174586943000,Educacion,Gustavo A. Madero
63,62,2015,5,Pobreza muy alta,Mujer,45-59,5249,41694658026300,63285341973700,Educacion,Gustavo A. Madero
64,63,2015,5,Pobreza muy alta,Mujer,60 y mas,17371,143762592766000,203657407234000,Educacion,Gustavo A. Madero
65,64,2015,5,Pobreza alta,Mujer,0-11,699,321389598711000,107661040129000,Educacion,Gustavo A. Madero
66,65,2015,5,Pobreza alta,Mujer,30-44,5677,451010084514000,684389915486000,Educacion,Gustavo A. Madero
67,66,2015,5,Pobreza moderada,Hombre,0-11,1432,903599132896000,196040086710000,Educacion,Gustavo A. Madero
68,67,2015,5,Pobreza moderada,Mujer,0-11,731,331998759204000,113000124080000,Educacion,Gustavo A. Madero
69,68,2015,5,Pobreza moderada,Mujer,30-44,31359,265833449764000,361346550236000,Educacion,Gustavo A. Madero
70,69,2015,5,Satisfaccion mínima,Hombre,0-11,39918,34635545693700,45200454306300,Educacion,Gustavo A. Madero
71,70,2015,5,Satisfaccion mínima,Hombre,12-29,59358,523921192689000,663238807311000,Educacion,Gustavo A. Madero
72,71,2015,5,Satisfaccion mínima,Hombre,30-44,32660,281205028147000,371994971853000,Educacion,Gustavo A. Madero
73,72,2015,5,Satisfaccion mínima,Mujer,0-11,37703,328657652625000,425402347375000,Educacion,Gustavo A. Madero
74,73,2015,5,Satisfaccion mínima,Mujer,30-44,36185,309468380424000,414231619576000,Educacion,Gustavo A. Madero
75,74,2015,5,Satisfaccion mínima,Mujer,45-59,26966,23481930560500,30450069439500,Educacion,Gustavo A. Madero
76,75,2015,5,Estrato medio,Mujer,12-29,58082,523099026965000,638540973035000,Educacion,Gustavo A. Madero
77,76,2015,5,Estrato medio,Mujer,30-44,55876,497356286084000,620163713916000,Educacion,Gustavo A. Madero
78,77,2015,5,Estrato medio,Mujer,45-59,56470,505071539898000,624328460102000,Educacion,Gustavo A. Madero
79,78,2015,5,Estrato medio,Mujer,60 y mas,28432,251807937976000,316832062024000,Educacion,Gustavo A. Madero
80,79,2015,5,Estrato alto,Hombre,0-11,13569,113052287068000,158327712932000,Educacion,Gustavo A. Madero
81,80,2015,5,Estrato alto,Hombre,12-29,1673,10541100350500,22918899649500,Educacion,Gustavo A. Madero
82,81,2015,5,Estrato alto,Hombre,60 y mas,5295,391601504266000,667398495734000,Educacion,Gustavo A. Madero
83,82,2015,6,Pobreza muy alta,Mujer,12-29,829,246880608222000,141111939178000,Educacion,Iztacalco
84,83,2015,6,Pobreza muy alta,Mujer,No especificado,260,-101344699189000,621344699189000,Educacion,Iztacalco
85,84,2015,6,Pobreza alta,Hombre,45-59,547,838947769702000,101010522303000,Educacion,Iztacalco
86,85,2015,6,Pobreza alta,Hombre,60 y mas,919,247138254103000,159086174590000,Educacion,Iztacalco
87,86,2015,6,Pobreza alta,Mujer,12-29,655,239506297443000,10704937025600,Educacion,Iztacalco
88,87,2015,6,Pobreza alta,Mujer,30-44,1308,794633741850000,182136625815000,Educacion,Iztacalco
89,88,2015,6,Pobreza moderada,Hombre,0-11,498,971912486824000,898808751318000,Educacion,Iztacalco
90,89,2015,6,Pobreza moderada,Mujer,12-29,10563,850596796475000,126200320353000,Educacion,Iztacalco
91,90,2015,6,Pobreza moderada,Mujer,45-59,8021,61263327126300,99156672873700,Educacion,Iztacalco
92,91,2015,6,Satisfaccion mínima,Hombre,60 y mas,6167,491107457003000,742292542997000,Educacion,Iztacalco
93,92,2015,6,Satisfaccion mínima,Mujer,0-11,11080,919297979662000,129670202034000,Educacion,Iztacalco
94,93,2015,6,Satisfaccion mínima,Mujer,30-44,12169,100146182404000,143233817596000,Educacion,Iztacalco
95,94,2015,6,Estrato medio,Hombre,0-11,9730,733489065206000,121251093479000,Educacion,Iztacalco
96,95,2015,6,Estrato medio,Hombre,30-44,20842,174216490572000,242623509428000,Educacion,Iztacalco
97,96,2015,6,Estrato medio,Mujer,12-29,19621,165762082568000,226657917432000,Educacion,Iztacalco
98,97,2015,6,Estrato medio,Mujer,30-44,22983,197231926283000,262428073717000,Educacion,Iztacalco
99,98,2015,6,Estrato medio,Mujer,45-59,22931,195842862555000,262777137445000,Educacion,Iztacalco
100,99,2015,6,Estrato alto,Mujer,0-11,4860,348501970910000,623498029090000,Educacion,Iztacalco
101,100,2015,7,Pobreza muy alta,Hombre,0-11,11823,101504532836000,134955467164000,Educacion,Iztapalapa
102,101,2015,7,Pobreza muy alta,Hombre,12-29,4624,345961249853000,578838750147000,Educacion,Iztapalapa
103,102,2015,7,Pobreza muy alta,Hombre,30-44,5415,420080977780000,662919022220000,Educacion,Iztapalapa
104,103,2015,7,Pobreza muy alta,Hombre,45-59,5834,468406925491000,698393074509000,Educacion,Iztapalapa
105,104,2015,7,Pobreza muy alta,Hombre,60 y mas,10765,915932123702000,123706787630000,Educacion,Iztapalapa
106,105,2015,7,Pobreza muy alta,Hombre,No especificado,603,247536890844000,958463109156000,Educacion,Iztapalapa
107,106,2015,7,Pobreza muy alta,Mujer,0-11,9884,831313193593000,1145486806410,Educacion,Iztapalapa
108,107,2015,7,Pobreza alta,Hombre,0-11,1632,956300425549000,230769957445000,Educacion,Iztapalapa
109,108,2015,7,Pobreza alta,Mujer,45-59,5331,436864767091000,629335232909000,Educacion,Iztapalapa
110,109,2015,7,Pobreza moderada,Hombre,0-11,2583,174934483121000,341665516879000,Educacion,Iztapalapa
111,110,2015,7,Pobreza moderada,Hombre,45-59,26542,235554240232000,295285759768000,Educacion,Iztapalapa
112,111,2015,7,Pobreza moderada,Mujer,0-11,1808,122321275877000,239278724123000,Educacion,Iztapalapa
113,112,2015,7,Pobreza moderada,Mujer,30-44,59531,539409969550000,651210030450000,Educacion,Iztapalapa
114,113,2015,7,Pobreza moderada,Mujer,45-59,40950,374492936500000,444507063500000,Educacion,Iztapalapa
115,114,2015,7,Satisfaccion mínima,Hombre,0-11,73152,657168920742000,805871079258000,Educacion,Iztapalapa
116,115,2015,7,Satisfaccion mínima,Hombre,12-29,101615,942838156371000,108946184363000,Educacion,Iztapalapa
117,116,2015,7,Satisfaccion mínima,Hombre,45-59,40359,364120722566000,443059277434000,Educacion,Iztapalapa
118,117,2015,7,Estrato medio,Hombre,0-11,57333,521480678177000,625179321823000,Educacion,Iztapalapa
119,118,2015,7,Estrato medio,Hombre,30-44,65002,600213731587000,699826268413000,Educacion,Iztapalapa
120,119,2015,7,Estrato medio,Hombre,60 y mas,27978,238358551588000,321201448412000,Educacion,Iztapalapa
121,120,2015,7,Estrato medio,Mujer,0-11,53621,488243526320000,584176473680000,Educacion,Iztapalapa
122,121,2015,7,Estrato medio,Mujer,12-29,80745,742897241546000,872002758454000,Educacion,Iztapalapa
123,122,2015,7,Estrato medio,Mujer,30-44,75257,691892697690000,813247302310000,Educacion,Iztapalapa
124,123,2015,7,Estrato alto,Hombre,0-11,20352,179921859039000,227118140961000,Educacion,Iztapalapa
125,124,2015,7,Estrato alto,Mujer,0-11,20203,178073442923000,225986557077000,Educacion,Iztapalapa
126,125,2015,7,Estrato alto,Mujer,12-29,2159,136327152435000,295472847565000,Educacion,Iztapalapa
127,126,2015,7,Estrato alto,Mujer,30-44,1465,949337108424000,19806628915800,Educacion,Iztapalapa
128,127,2015,8,Pobreza muy alta,Mujer,12-29,644,390371179627000,897628820373000,Educacion,La Magdalena Contreras
129,128,2015,8,Pobreza muy alta,Mujer,30-44,1247,775669000800000,171833099920000,Educacion,La Magdalena Contreras
130,129,2015,8,Pobreza alta,Hombre,30-44,1269,819216899674000,171878310033000,Educacion,La Magdalena Contreras
131,130,2015,8,Pobreza alta,Hombre,60 y mas,595,320317870033000,869682129967000,Educacion,La Magdalena Contreras
132,131,2015,8,Pobreza moderada,Hombre,45-59,3850,302392346814000,467607653186000,Educacion,La Magdalena Contreras
133,132,2015,8,Pobreza moderada,Mujer,30-44,8603,660366683014000,106023331699000,Educacion,La Magdalena Contreras
134,133,2015,8,Pobreza moderada,Mujer,60 y mas,3718,306881412007000,436718587993000,Educacion,La Magdalena Contreras
135,134,2015,8,Satisfaccion mínima,Mujer,0-11,8585,677327162078000,103967283792000,Educacion,La Magdalena Contreras
136,135,2015,8,Satisfaccion mínima,Mujer,12-29,12973,107174145475000,152285854525000,Educacion,La Magdalena Contreras
137,136,2015,8,Estrato medio,Hombre,45-59,8070,654243641158000,959756358842000,Educacion,La Magdalena Contreras
138,137,2015,8,Estrato medio,Mujer,60 y mas,4844,359478446971000,609321553029000,Educacion,La Magdalena Contreras
139,138,2015,8,Estrato alto,Hombre,0-11,2967,208979478748000,384420521252000,Educacion,La Magdalena Contreras
140,139,2015,8,Estrato alto,Hombre,12-29,191,763050983318000,305694901668000,Educacion,La Magdalena Contreras
141,140,2015,8,Estrato alto,Mujer,60 y mas,713,355456066365000,107054393364000,Educacion,La Magdalena Contreras
142,141,2015,9,Pobreza muy alta,Hombre,45-59,647,359497986824000,934502013176000,Educacion,Milpa Alta
143,142,2015,9,Pobreza muy alta,Mujer,30-44,861,544019439984000,117798056002000,Educacion,Milpa Alta
144,143,2015,9,Pobreza alta,Hombre,30-44,1338,912656769330000,17633432306700,Educacion,Milpa Alta
145,144,2015,9,Pobreza alta,Hombre,60 y mas,337,151584328444000,522415671556000,Educacion,Milpa Alta
146,145,2015,9,Pobreza moderada,Hombre,60 y mas,1322,935503897796000,170849610220000,Educacion,Milpa Alta
147,146,2015,9,Pobreza moderada,Mujer,0-11,115,424494859111000,187550514089000,Educacion,Milpa Alta
148,147,2015,9,Pobreza moderada,Mujer,12-29,6634,439671419808000,887128580192000,Educacion,Milpa Alta
149,148,2015,9,Pobreza moderada,Mujer,45-59,3005,201875411832000,399124588168000,Educacion,Milpa Alta
150,149,2015,9,Satisfaccion mínima,Hombre,30-44,4230,282922282667000,563077717333000,Educacion,Milpa Alta
151,150,2015,9,Satisfaccion mínima,Hombre,45-59,3297,215997032867000,443402967133000,Educacion,Milpa Alta
152,151,2015,9,Satisfaccion mínima,Hombre,60 y mas,1492,954988620011000,202901137999000,Educacion,Milpa Alta
153,152,2015,9,Satisfaccion mínima,Mujer,12-29,8708,625220893866000,111637910613000,Educacion,Milpa Alta
154,153,2015,9,Estrato medio,Mujer,60 y mas,992,682765089662000,130123491034000,Educacion,Milpa Alta
155,154,2015,9,Estrato alto,Hombre,30-44,193,835425067235000,302457493277000,Educacion,Milpa Alta
156,155,2015,9,Estrato alto,Hombre,45-59,131,568594653241000,205140534676000,Educacion,Milpa Alta
157,156,2015,9,Estrato alto,Hombre,60 y mas,110,455938700892000,174406129911000,Educacion,Milpa Alta
158,157,2015,9,Estrato alto,Mujer,12-29,72,227659954138000,121234004586000,Educacion,Milpa Alta
159,158,2015,10,Pobreza muy alta,Hombre,12-29,1551,104815018416000,205384981584000,Educacion,Álvaro Obregón
160,159,2015,10,Pobreza muy alta,Hombre,60 y mas,4837,391493504712000,575906495288000,Educacion,Álvaro Obregón
161,160,2015,10,Pobreza muy alta,Mujer,0-11,3948,234473403357000,555126596643000,Educacion,Álvaro Obregón
162,161,2015,10,Pobreza muy alta,Mujer,No especificado,247,436581042502000,450341895750000,Educacion,Álvaro Obregón
163,162,2015,10,Pobreza alta,Hombre,0-11,169,383719499741000,299628050026000,Educacion,Álvaro Obregón
164,163,2015,10,Pobreza alta,Hombre,60 y mas,1945,125865907109000,263134092891000,Educacion,Álvaro Obregón
165,164,2015,10,Pobreza moderada,Hombre,45-59,11000,879448166659000,132055183334000,Educacion,Álvaro Obregón
166,165,2015,10,Pobreza moderada,Mujer,0-11,938,470601633260000,140539836674000,Educacion,Álvaro Obregón
167,166,2015,10,Pobreza moderada,Mujer,12-29,24028,201523438593000,279036561407000,Educacion,Álvaro Obregón
168,167,2015,10,Pobreza moderada,Mujer,30-44,21482,180473469484000,249166530516000,Educacion,Álvaro Obregón
169,168,2015,10,Satisfaccion mínima,Hombre,0-11,25728,226061080566000,288498919434000,Educacion,Álvaro Obregón
170,169,2015,10,Satisfaccion mínima,Hombre,30-44,20169,173669062798000,229710937202000,Educacion,Álvaro Obregón
171,170,2015,10,Satisfaccion mínima,Mujer,0-11,26301,224042752505000,301977247495000,Educacion,Álvaro Obregón
172,171,2015,10,Satisfaccion mínima,Mujer,30-44,22674,195655696744000,257824303256000,Educacion,Álvaro Obregón
173,172,2015,10,Satisfaccion mínima,Mujer,45-59,17201,14822738481100,19579261518900,Educacion,Álvaro Obregón
174,173,2015,10,Estrato medio,Mujer,30-44,38773,312731062608000,462728937392000,Educacion,Álvaro Obregón
175,174,2015,10,Estrato alto,Hombre,0-11,7229,610997148445000,834802851555000,Educacion,Álvaro Obregón
176,175,2015,10,Estrato alto,Hombre,30-44,2579,151418804165000,364381195835000,Educacion,Álvaro Obregón
177,176,2015,10,Estrato alto,Hombre,45-59,4174,254207825350000,580592174650000,Educacion,Álvaro Obregón
178,177,2015,10,Estrato alto,Mujer,0-11,7837,606326987162000,961073012838000,Educacion,Álvaro Obregón
179,178,2015,11,Pobreza muy alta,Hombre,30-44,1028,678795334809000,137720466519000,Educacion,Tláhuac
180,179,2015,11,Pobreza muy alta,Hombre,45-59,939,548261177618000,132973882238000,Educacion,Tláhuac
181,180,2015,11,Pobreza muy alta,Hombre,60 y mas,2073,140571144740000,274028855260000,Educacion,Tláhuac
182,181,2015,11,Pobreza muy alta,Mujer,12-29,717,358142849327000,107585715067000,Educacion,Tláhuac
183,182,2015,11,Pobreza alta,Hombre,12-29,1943,121329712479000,267270287521000,Educacion,Tláhuac
184,183,2015,11,Pobreza alta,Hombre,30-44,1350,938563373797000,176143662620000,Educacion,Tláhuac
185,184,2015,11,Pobreza alta,Hombre,45-59,742,457226359894000,102677364011000,Educacion,Tláhuac
186,185,2015,11,Pobreza alta,Mujer,30-44,2409,177588717111000,304211282889000,Educacion,Tláhuac
187,186,2015,11,Pobreza alta,Mujer,45-59,943,535294915199000,135070508480000,Educacion,Tláhuac
188,187,2015,11,Pobreza moderada,Hombre,45-59,5342,401751602179000,666648397821000,Educacion,Tláhuac
189,188,2015,11,Pobreza moderada,Mujer,0-11,469,158741400966000,779258599034000,Educacion,Tláhuac
190,189,2015,11,Pobreza moderada,Mujer,30-44,12480,108387843458000,141212156542000,Educacion,Tláhuac
191,190,2015,11,Pobreza moderada,Mujer,45-59,8862,725500306051000,104689969395000,Educacion,Tláhuac
192,191,2015,11,Satisfaccion mínima,Hombre,0-11,15149,125501524418000,177478475582000,Educacion,Tláhuac
193,192,2015,11,Satisfaccion mínima,Mujer,0-11,13254,109000534749000,156079465251000,Educacion,Tláhuac
194,193,2015,11,Satisfaccion mínima,Mujer,45-59,9779,75571565929900,120008434070000,Educacion,Tláhuac
195,194,2015,11,Estrato medio,Mujer,0-11,12598,104378734808000,147581265192000,Educacion,Tláhuac
196,195,2015,11,Estrato medio,Mujer,12-29,17497,149221707471000,200718292529000,Educacion,Tláhuac
197,196,2015,11,Estrato alto,Hombre,45-59,936,492939179839000,137906082016000,Educacion,Tláhuac
198,197,2015,11,Estrato alto,Mujer,12-29,250,720146274129000,427985372587000,Educacion,Tláhuac
199,198,2015,11,Estrato alto,Mujer,30-44,305,361248421979000,573875157802000,Educacion,Tláhuac
200,199,2015,11,Estrato alto,Mujer,60 y mas,99,-115818070050000,209581807005000,Educacion,Tláhuac
201,200,2015,12,Pobreza muy alta,Hombre,12-29,1702,124908967598000,215491032402000,Educacion,Tlalpan
202,201,2015,12,Pobreza muy alta,Hombre,30-44,2751,219291850869000,330908149131000,Educacion,Tlalpan
203,202,2015,12,Pobreza muy alta,Hombre,45-59,1947,132463420303000,256936579697000,Educacion,Tlalpan
204,203,2015,12,Pobreza muy alta,Hombre,No especificado,188,361794785050000,339820521495000,Educacion,Tlalpan
205,204,2015,12,Pobreza muy alta,Mujer,12-29,1502,103178466253000,197221533747000,Educacion,Tlalpan
206,205,2015,12,Pobreza muy alta,Mujer,30-44,2844,197515274334000,371284725666000,Educacion,Tlalpan
207,206,2015,12,Pobreza muy alta,Mujer,45-59,4121,32394491304000,50025508696000,Educacion,Tlalpan
208,207,2015,12,Pobreza muy alta,Mujer,60 y mas,8078,665098359759000,950501640241000,Educacion,Tlalpan
209,208,2015,12,Pobreza alta,Hombre,12-29,3435,269818400670000,417181599330000,Educacion,Tlalpan
210,209,2015,12,Pobreza alta,Hombre,30-44,3721,280803094181000,463396905819000,Educacion,Tlalpan
211,210,2015,12,Pobreza alta,Mujer,0-11,306,130898629732000,481101370268000,Educacion,Tlalpan
212,211,2015,12,Pobreza moderada,Hombre,0-11,730,425135313092000,103486468691000,Educacion,Tlalpan
213,212,2015,12,Pobreza moderada,Hombre,45-59,8698,714377922867000,102522207713000,Educacion,Tlalpan
214,213,2015,12,Pobreza moderada,Hombre,60 y mas,6415,518481898103000,764518101897000,Educacion,Tlalpan
215,214,2015,12,Pobreza moderada,Mujer,0-11,696,446759389441000,945240610559000,Educacion,Tlalpan
216,215,2015,12,Satisfaccion mínima,Hombre,30-44,17243,153442725222000,191417274778000,Educacion,Tlalpan
217,216,2015,12,Satisfaccion mínima,Hombre,45-59,11018,924221450912000,127937854909000,Educacion,Tlalpan
218,217,2015,12,Satisfaccion mínima,Mujer,0-11,24036,205159293383000,275560706617000,Educacion,Tlalpan
219,218,2015,12,Estrato medio,Hombre,60 y mas,15311,129030546111000,177189453889000,Educacion,Tlalpan
220,219,2015,12,Estrato medio,Mujer,0-11,20031,172506548295000,228113451705000,Educacion,Tlalpan
221,220,2015,12,Estrato medio,Mujer,30-44,36784,313426638672000,422253361328000,Educacion,Tlalpan
222,221,2015,12,Estrato medio,Mujer,45-59,32051,271467005690000,369552994310000,Educacion,Tlalpan
223,222,2015,12,Estrato alto,Hombre,0-11,7496,61277191523700,88642808476300,Educacion,Tlalpan
224,223,2015,12,Estrato alto,Mujer,30-44,2465,175482076482000,317517923518000,Educacion,Tlalpan
225,224,2015,13,Pobreza muy alta,Hombre,30-44,2427,964444679394000,388955532061000,Educacion,Xochimilco
226,225,2015,13,Pobreza muy alta,Hombre,No especificado,201,466116802907000,397338831971000,Educacion,Xochimilco
227,226,2015,13,Pobreza muy alta,Mujer,12-29,1705,641906328454000,27680936715500,Educacion,Xochimilco
228,227,2015,13,Pobreza muy alta,Mujer,30-44,3323,128314670918000,536285329082000,Educacion,Xochimilco
229,228,2015,13,Pobreza alta,Hombre,12-29,2384,170352263644000,306447736356000,Educacion,Xochimilco
230,229,2015,13,Pobreza alta,Hombre,45-59,1030,595707272330000,146429272767000,Educacion,Xochimilco
231,230,2015,13,Pobreza alta,Hombre,60 y mas,710,370793229950000,104920677005000,Educacion,Xochimilco
232,231,2015,13,Pobreza alta,Mujer,0-11,611,130459433072000,109154056693000,Educacion,Xochimilco
233,232,2015,13,Pobreza moderada,Hombre,0-11,457,194417457780000,719582542220000,Educacion,Xochimilco
234,233,2015,13,Pobreza moderada,Hombre,12-29,17452,126018819670000,223021180330000,Educacion,Xochimilco
235,234,2015,13,Pobreza moderada,Mujer,0-11,538,131820979711000,944179020289000,Educacion,Xochimilco
236,235,2015,13,Satisfaccion mínima,Hombre,30-44,11495,898888840198000,14001111598000,Educacion,Xochimilco
237,236,2015,13,Satisfaccion mínima,Hombre,60 y mas,4829,358094541667000,607705458333000,Educacion,Xochimilco
238,237,2015,13,Satisfaccion mínima,Mujer,30-44,13931,969324254785000,181687574522000,Educacion,Xochimilco
239,238,2015,13,Estrato medio,Hombre,12-29,17423,130675652464000,217784347536000,Educacion,Xochimilco
240,239,2015,13,Estrato medio,Mujer,0-11,12077,911593974686000,150380602531000,Educacion,Xochimilco
241,240,2015,13,Estrato alto,Mujer,30-44,586,224941589108000,947058410892000,Educacion,Xochimilco
242,241,2015,13,Estrato alto,Mujer,45-59,1125,627021969349000,162297803065000,Educacion,Xochimilco
243,242,2015,14,Pobreza muy alta,Hombre,12-29,347,558336109789000,688416638902000,Educacion,Benito Juárez
244,243,2015,14,Pobreza muy alta,Mujer,No especificado,39,-212825753911000,992825753911000,Educacion,Benito Juárez
245,244,2015,14,Pobreza alta,Mujer,12-29,359,110321240946000,607678759054000,Educacion,Benito Juárez
246,245,2015,14,Pobreza moderada,Mujer,12-29,3098,221424175868000,398175824132000,Educacion,Benito Juárez
247,246,2015,14,Satisfaccion mínima,Mujer,30-44,7102,489632804199000,930767195801000,Educacion,Benito Juárez
248,247,2015,14,Satisfaccion mínima,Mujer,45-59,4527,239128423451000,666271576549000,Educacion,Benito Juárez
249,248,2015,14,Satisfaccion mínima,Mujer,60 y mas,8541,664719310143000,104348068986000,Educacion,Benito Juárez
